None	Governance - Number	Governance - Money	Identity & Culture - Number	Identity & Culture - Money	Education - Number	Education - Money	Health - Number	Health - Money	Safety & Security - Number	Safety & Security - Money	Economy & Employment - Number	Economy & Employment - Money	Housing & Inclusiveness - Number	Housing & Inclusiveness - Money	Public Open Space - Number	Public Open Space - Money	Mixed Land Use; Compactness - Number	Mixed Land Use; Compactness - Money	Power Supply - Number	Power Supply - Money	Transportation & Mobility - Number	Transportation & Mobility - Money	Assured Water Supply - Number	Assured Water Supply - Money	Wastewater Management - Number	Wastewater Management - Money	Solid Waste Management - Number	Solid Waste Management - Money	Reduced Pollution - Number	Reduced Pollution - Money	Unknown - Number	Unknown - Money
CSV-files/round-1/3-Jaipur_projects.csv	3	55.0	17	427.5	None	None	None	None	1	0.5	None	None	None	None	None	None	None	None	2	76.0	23	388.16	2	36.0	4	564.0	14	388.27	1	0.5	None	None
CSV-files/round-1/12-NDMC_projects.csv	2	25.0	7	66.0	2	45.0	3	24.75	None	None	None	None	None	None	None	None	None	None	6	2126.0	10	256.0	None	None	2	194.92	5	40.6	1	25.0	5	195.0
CSV-files/round-1/20-Bhopal_projects.csv	2	350.0	None	None	None	None	None	None	None	None	None	None	1	922.0	1	20.0	None	None	1	448.21	1	95.0	2	206.0	1	50.5	None	None	None	None	1	627.0
CSV-files/round-1/18-Chennai_projects.csv	5	50.69	None	None	None	None	None	None	None	None	None	None	None	None	2	4.95	None	None	7	272.87	16	636.1	6	222.05	8	164.23	5	15.36	None	None	None	None
CSV-files/round-1/5-Kochi_projects.csv	2	70.0	2	31.0	3	5.5	1	10.0	2	0.8	1	5.0	5	379.99	6	10.2	None	None	18	152.61	15	276.15	16	794.55	3	145.0	4	6.89	None	None	5	117.6
CSV-files/round-1/10-Davanagere_projects.csv	1	38.44	1	6.67	None	None	None	None	None	None	2	475.81	None	None	None	None	None	None	1	9.4	3	527.88	None	None	1	161.01	1	37.01	None	None	1	50.96
CSV-files/round-1/4-Surat_projects.csv	3	339.0	None	None	None	None	None	None	None	None	2	70.0	3	725.0	None	None	None	None	2	67.0	4	609.0	3	225.0	3	455.0	None	None	None	None	1	107.0
CSV-files/round-1/15-Belagavi_projects.csv	8	236.4	9	93.0	None	None	3	0.0	None	None	1	8.0	2	127.52	8	170.25	None	None	6	475.0	20	928.7	4	527.0	2	226.0	1	8.0	1	15.0	4	696.27
CSV-files/round-1/14-Kakinada_projects.csv	7	0.92	1	30.46	4	11.23	3	50.5	2	5.58	10	107.67	None	None	9	338.29	None	None	5	190.82	23	374.92	6	30.12	3	571.85	7	43.87	1	0.0	7	110.8
CSV-files/round-1/7-Jabalpur_projects.csv	6	40.96	2	30.0	3	11.37	1	5.0	12	76.36	5	117.0	3	1597.01	6	734.89	None	None	9	358.2	14	320.46	9	61.48	8	119.76	6	56.66	1	0.25	18	278.69
CSV-files/round-1/16-Udaipur_projects.csv	1	12.0	1	63.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3	283.0	5	320.0	3	274.0	1	139.0	None	None	None	None	3	106.0
CSV-files/round-1/6-Ahmedabad_projects.csv	4	346.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2	24.0	5	213.0	2	41.0	1	125.0	1	1.0	None	None	7	1540.0
CSV-files/round-1/11-Indore_projects.csv	10	160.96	3	46.0	3	6.56	1	10.0	8	63.69	2	45.0	3	1921.44	8	961.42	None	None	5	345.86	12	852.89	7	93.24	7	157.46	10	23.52	1	0.3	7	165.19
CSV-files/round-1/17-Guwahati_projects.csv	None	None	None	None	None	None	None	None	None	None	4	0.0	None	None	2	0.0	None	None	2	0.0	9	622.0	None	None	12	1579.0	None	None	None	None	1	-40.0
CSV-files/round-1/9-Solapur_projects.csv	1	5.0	None	None	None	None	None	None	None	None	None	None	None	None	6	152.0	None	None	5	154.0	10	1258.0	5	276.0	3	284.0	5	34.0	None	None	2	84.0
CSV-files/round-1/1-BMC_projects.csv	18	244.26	2	21.4	2	9.7	1	9.6	7	31.23	3	33.93	4	2127.75	None	None	None	None	6	98.8	22	1547.76	5	249.78	1	36.51	4	77.12	1	4.5	4	44.8
CSV-files/round-1/19-Ludhiana_projects.csv	3	59.5	None	None	None	None	None	None	None	None	None	None	None	None	4	15.45	None	None	4	320.8	16	497.3	5	36.96	5	63.45	4	7.52	None	None	5	60.3
CSV-files/round-1/8-Vizag_projects.csv	6	141.0	1	9.44	1	5.5	None	None	None	None	None	None	1	54.24	3	347.69	None	None	4	347.25	6	258.87	3	28.69	9	95.27	2	1.0	1	1.38	4	311.53
CSV-files/round-1/13-Coimbatore_projects.csv	None	None	None	None	1	20.0	1	20.0	2	82.0	None	None	1	192.5	12	118.38	None	None	6	138.89	11	493.26	2	10.58	5	168.85	1	22.75	1	2.0	2	114.9
CSV-files/round-1/2-Pune_projects.csv	2	146.0	None	None	None	None	None	None	2	30.0	2	0.0	1	40.0	2	104.0	None	None	3	364.0	22	1157.0	14	354.0	4	152.0	1	16.0	None	None	None	None
